Year  Incidence Cases
1968  75.83 152209
1969  44.85 90918
1970  51.16 104939
1971  60.15 124939
1972  35.36 74215
1973  32.85 69612
1974  27.64 59128
1975  27.61 59647
1976  17.66 38492
1977  9.73  21436
1978  7.55  16817
1979  6.32  14225
1980  3.79  8576
1981  2.15  4941
1982  2.27  5270
1983  1.43  3355
1984  1.30  3021
1985  1.30  2982
1986  3.37  7790
1987  5.43  12848
1988  2.05  4866
1989  2.34  5712
1990  2.17  5292
1991  1.72  4264
1992  1.03  2572
1993  0.66  1692
1994  0.60  1537
1995  0.35  906
1996  0.29  751
1997  0.27  683
1998  0.25  666
1999  0.14  387
2000  0.13  338
2001  0.10  266
2002  0.10  270
2003  0.08  231
2004  0.09  258
2005  0.11  314
2006  2.22  6584
2007  0.27  800
2008  0.15  454
2009  0.65  1991
2010  0.85  2612
2011  0.13  404
2012  0.07  229
2013  0.19  584
2014  0.38  1223
2015  0.41  1329
2016  1.97  6,369
2017  1.78  5800
