,Region 1,Region 2,Region 3,Region 4,Region 5,Region 6,Region 7,Region 8,Region 9
1980.0,8.0,0.0,1.0,3.0,4.0,1.0,2.0,2.0,1.0
1980.076923076923,10.0,2.0,2.0,4.0,5.0,0.0,1.0,0.0,2.0
1980.1538461538462,5.0,3.0,2.0,6.0,8.0,0.0,4.0,0.0,2.0
1980.2307692307693,2.0,2.0,1.0,4.0,5.0,2.0,4.0,2.0,3.0
1980.3076923076924,10.0,4.0,1.0,2.0,12.0,0.0,9.0,0.0,3.0
1980.3846153846155,9.0,7.0,3.0,3.0,8.0,0.0,2.0,2.0,2.0
1980.4615384615386,11.0,1.0,2.0,3.0,8.0,0.0,5.0,1.0,4.0
1980.5384615384614,10.0,1.0,1.0,5.0,4.0,1.0,6.0,3.0,2.0
1980.6153846153845,12.0,3.0,3.0,2.0,9.0,0.0,5.0,0.0,3.0
1980.6923076923076,6.0,5.0,3.0,1.0,3.0,3.0,8.0,4.0,3.0
1980.7692307692307,10.0,2.0,4.0,1.0,11.0,1.0,3.0,1.0,3.0
1980.8461538461538,1.0,4.0,4.0,2.0,8.0,3.0,4.0,0.0,3.0
1980.923076923077,6.0,3.0,1.0,2.0,9.0,1.0,2.0,1.0,1.0
1981.0,7.0,5.0,6.0,1.0,12.0,3.0,5.0,2.0,2.0
1981.076923076923,11.0,2.0,6.0,8.0,9.0,3.0,4.0,1.0,0.0
1981.1538461538462,14.0,5.0,7.0,2.0,11.0,4.0,6.0,0.0,5.0
1981.2307692307693,13.0,4.0,11.0,8.0,12.0,1.0,9.0,2.0,8.0
1981.3076923076924,12.0,5.0,7.0,8.0,16.0,5.0,14.0,2.0,3.0
1981.3846153846155,9.0,4.0,3.0,7.0,23.0,2.0,8.0,4.0,5.0
1981.4615384615386,21.0,3.0,7.0,7.0,14.0,3.0,11.0,6.0,5.0
1981.5384615384614,16.0,5.0,2.0,12.0,8.0,1.0,10.0,1.0,2.0
1981.6153846153845,11.0,2.0,4.0,10.0,9.0,5.0,3.0,1.0,2.0
1981.6923076923076,13.0,4.0,4.0,6.0,5.0,1.0,6.0,5.0,7.0
1981.7692307692307,8.0,3.0,2.0,5.0,8.0,1.0,4.0,4.0,2.0
1981.8461538461538,7.0,2.0,0.0,4.0,5.0,2.0,3.0,3.0,5.0
1981.923076923077,5.0,0.0,0.0,3.0,6.0,2.0,3.0,1.0,0.0
1982.0,8.0,0.0,5.0,7.0,13.0,7.0,5.0,3.0,5.0
1982.076923076923,4.0,7.0,5.0,2.0,3.0,4.0,4.0,2.0,1.0
1982.1538461538462,3.0,1.0,0.0,5.0,4.0,3.0,2.0,3.0,4.0
1982.2307692307693,5.0,1.0,3.0,7.0,0.0,6.0,4.0,1.0,6.0
1982.3076923076924,5.0,6.0,1.0,4.0,4.0,3.0,4.0,1.0,1.0
1982.3846153846155,4.0,0.0,3.0,1.0,4.0,1.0,2.0,0.0,2.0
1982.4615384615386,6.0,0.0,2.0,5.0,3.0,0.0,2.0,0.0,2.0
1982.5384615384614,3.0,2.0,0.0,8.0,1.0,2.0,4.0,1.0,2.0
1982.6153846153845,8.0,1.0,2.0,5.0,1.0,0.0,5.0,0.0,4.0
1982.6923076923076,8.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
1982.7692307692307,4.0,1.0,1.0,6.0,0.0,1.0,1.0,1.0,1.0
1982.8461538461538,5.0,2.0,0.0,5.0,8.0,0.0,2.0,1.0,0.0
1982.923076923077,0.0,2.0,2.0,4.0,1.0,1.0,3.0,0.0,0.0
1983.0,8.0,2.0,2.0,4.0,1.0,0.0,3.0,0.0,0.0
1983.076923076923,10.0,3.0,0.0,8.0,10.0,0.0,4.0,0.0,0.0
1983.1538461538462,7.0,1.0,2.0,6.0,10.0,1.0,4.0,2.0,1.0
1983.2307692307693,6.0,6.0,2.0,4.0,10.0,0.0,1.0,1.0,3.0
1983.3076923076924,4.0,7.0,1.0,2.0,10.0,0.0,4.0,0.0,1.0
1983.3846153846155,10.0,2.0,1.0,3.0,7.0,0.0,5.0,2.0,1.0
1983.4615384615386,7.0,0.0,1.0,5.0,5.0,0.0,8.0,1.0,1.0
1983.5384615384614,4.0,5.0,3.0,8.0,11.0,1.0,6.0,1.0,2.0
1983.6153846153845,5.0,2.0,2.0,4.0,6.0,2.0,2.0,3.0,1.0
1983.6923076923076,8.0,3.0,4.0,2.0,6.0,2.0,1.0,0.0,2.0
1983.7692307692307,3.0,1.0,2.0,6.0,15.0,1.0,4.0,1.0,0.0
1983.8461538461538,4.0,1.0,1.0,3.0,5.0,0.0,3.0,3.0,3.0
1983.923076923077,9.0,1.0,0.0,4.0,11.0,1.0,5.0,2.0,2.0
1984.0,16.0,2.0,5.0,8.0,10.0,1.0,4.0,3.0,5.0
1984.076923076923,14.0,1.0,8.0,8.0,18.0,2.0,5.0,0.0,2.0
1984.1538461538462,12.0,3.0,7.0,2.0,17.0,2.0,6.0,2.0,11.0
1984.2307692307693,11.0,1.0,6.0,5.0,5.0,4.0,2.0,4.0,6.0
1984.3076923076924,15.0,2.0,11.0,7.0,9.0,6.0,6.0,9.0,5.0
1984.3846153846155,8.0,4.0,3.0,6.0,6.0,7.0,4.0,5.0,5.0
1984.4615384615386,7.0,4.0,2.0,5.0,3.0,1.0,3.0,6.0,4.0
1984.5384615384614,9.0,3.0,8.0,4.0,10.0,6.0,4.0,2.0,10.0
1984.6153846153845,13.0,1.0,7.0,4.0,1.0,2.0,7.0,1.0,2.0
1984.6923076923076,4.0,3.0,6.0,4.0,2.0,1.0,0.0,2.0,2.0
1984.7692307692307,4.0,0.0,4.0,3.0,8.0,2.0,0.0,2.0,1.0
1984.8461538461538,6.0,2.0,4.0,8.0,0.0,2.0,1.0,1.0,2.0
1984.923076923077,4.0,3.0,2.0,1.0,4.0,2.0,1.0,1.0,3.0
1985.0,3.0,5.0,1.0,2.0,3.0,4.0,1.0,0.0,2.0
1985.076923076923,3.0,4.0,3.0,5.0,4.0,1.0,2.0,3.0,9.0
