state,state,p1,p2,bp,test1,test2
Alabama,Alabama,0.0,0.0,1978.124265760927,True,True
Arizona,Arizona,0.0,0.0,1976.7842462078665,True,True
Arkansas,Arkansas,0.0,0.0,1968.3492204169838,True,True
California,California,0.0,0.0,1977.921045519979,True,True
Colorado,Colorado,0.0,0.0,1976.2890793780464,True,True
Connecticut,Connecticut,0.0,0.0,1977.9499014589549,True,True
Delaware,Delaware,0.0,0.77,1979.7648369931876,True,False
District.of.Columbia,District.of.Columbia,0.0,0.385,1966.9877462238858,True,False
Florida,Florida,0.0,0.0,1977.03113509635,True,True
Georgia,Georgia,0.0,0.995,1962.9166635048005,True,False
Idaho,Idaho,0.0,0.0,1973.74839562603,True,True
Illinois,Illinois,0.0,0.0,1987.0568481157509,True,True
Indiana,Indiana,0.0,0.025,1977.3899081642508,True,True
Iowa,Iowa,0.0,0.0,1980.6493626255308,True,True
Kansas,Kansas,0.0,0.0,1963.5248663292173,True,True
Kentucky,Kentucky,0.0,0.0,1985.1522627291833,True,True
Louisiana,Louisiana,0.005,0.945,1976.4166467795967,True,False
Maine,Maine,0.0,0.0,1977.3501620407458,True,True
Maryland,Maryland,0.0,0.0,1973.8488806004257,True,True
Massachusetts,Massachusetts,0.0,0.0,1974.649433096731,True,True
Michigan,Michigan,0.0,0.0,1984.8373353768231,True,True
Minnesota,Minnesota,0.0,0.0,1971.1669552549613,True,True
Mississippi,Mississippi,0.0,0.04,1985.1948820815412,True,True
Missouri,Missouri,0.0,0.0,1975.8333126253071,True,True
Montana,Montana,0.0,0.0,1981.2999456187927,True,True
Nebraska,Nebraska,0.0,0.0,1976.8633162415817,True,True
Nevada,Nevada,0.0,0.0,1980.1111684820978,True,True
New.Hampshire,New.Hampshire,0.0,0.0,1969.7501858263706,True,True
New.Jersey,New.Jersey,0.0,0.0,1970.2121761570604,True,True
New.Mexico,New.Mexico,0.0,0.0,1968.681061911961,True,True
New.York,New.York,0.0,0.0,1971.472010220784,True,True
North.Carolina,North.Carolina,0.0,0.035,1971.750018966926,True,True
North.Dakota,North.Dakota,0.0,0.11,1977.4014175601606,True,False
Ohio,Ohio,0.0,0.0,1977.0833480797676,True,True
Oklahoma,Oklahoma,0.0,1.0,1962.083357894051,True,False
Oregon,Oregon,0.0,0.0,1982.6734130476993,True,True
Pennsylvania,Pennsylvania,0.0,0.0,1976.8115504614389,True,True
Rhode.Island,Rhode.Island,0.0,0.135,1977.2889313142991,True,False
South.Carolina,South.Carolina,0.0,0.0,1985.2459785995734,True,True
South.Dakota,South.Dakota,0.0,0.0,1969.4724472300666,True,True
Tennessee,Tennessee,0.0,0.0,1984.3530150897939,True,True
Texas,Texas,0.0,0.0,1980.4294839054612,True,True
Utah,Utah,0.0,0.0,1976.6021687939906,True,True
Vermont,Vermont,0.0,0.0,1974.6160319932133,True,True
Virginia,Virginia,0.0,0.0,1979.7542878915049,True,True
Washington,Washington,0.0,0.0,1978.0576256917484,True,True
West.Virginia,West.Virginia,0.0,0.36,1980.0833417004412,True,False
Wisconsin,Wisconsin,0.0,0.0,1979.1882046973956,True,True
Wyoming,Wyoming,0.0,0.065,1973.9546209909724,True,False
