state,state,p1,p2,bp,test1,test2
Alabama,Alabama,0.0,0.0,1978.1499208536434,True,True
Arizona,Arizona,0.0,0.0,1976.7505744922898,True,True
Arkansas,Arkansas,0.0,0.015,1968.4681819803077,True,True
California,California,0.0,0.0,1977.3709093547939,True,True
Colorado,Colorado,0.0,0.0,1976.266052648028,True,True
Connecticut,Connecticut,0.0,0.0,1977.5041826451545,True,True
Delaware,Delaware,0.0,0.52,1978.6663435230314,True,False
District.of.Columbia,District.of.Columbia,0.0,0.04,1965.982954578808,True,True
Florida,Florida,0.0,0.125,1977.083313128906,True,False
Georgia,Georgia,0.0,0.995,1962.873624771783,True,False
Idaho,Idaho,0.0,1.0,1974.0362860934345,True,False
Illinois,Illinois,0.0,0.0,1986.8333967480585,True,True
Indiana,Indiana,0.0,0.095,1977.166697056267,True,False
Iowa,Iowa,0.0,0.0,1980.3828422243173,True,True
Kansas,Kansas,0.0,0.0,1963.3681736655308,True,True
Kentucky,Kentucky,0.0,0.0,1984.9746356767064,True,True
Louisiana,Louisiana,0.0,0.865,1977.1667141627386,True,False
Maine,Maine,0.0,0.0,1977.6741700031425,True,True
Maryland,Maryland,0.0,0.0,1973.541801724565,True,True
Massachusetts,Massachusetts,0.525,0.0,2008.9999792269175,False,True
Michigan,Michigan,0.0,0.0,1984.4456077377433,True,True
Minnesota,Minnesota,0.0,0.0,1971.0832918800218,True,True
Mississippi,Mississippi,0.0,0.1,1972.2478805365115,True,False
Missouri,Missouri,0.0,0.0,1975.3776105652735,True,True
Montana,Montana,0.0,0.015,1981.1765563781546,True,True
Nebraska,Nebraska,0.0,0.0,1976.3715150088708,True,True
Nevada,Nevada,0.0,1.0,1978.4096392025283,True,False
New.Hampshire,New.Hampshire,0.0,0.0,1970.3323818159295,True,True
New.Jersey,New.Jersey,0.0,0.0,1970.070914836498,True,True
New.Mexico,New.Mexico,0.0,0.0,1968.6134692638457,True,True
New.York,New.York,0.0,0.0,1971.249364558475,True,True
North.Carolina,North.Carolina,0.0,0.41,1971.0451680417052,True,False
North.Dakota,North.Dakota,0.0,0.08,1977.6086239604545,True,False
Ohio,Ohio,0.0,0.0,1976.9167310225828,True,True
Oklahoma,Oklahoma,0.0,0.555,1962.1666230795843,True,False
Oregon,Oregon,0.0,0.0,1982.1114762951008,True,True
Pennsylvania,Pennsylvania,0.0,0.0,1976.6028248277012,True,True
Rhode.Island,Rhode.Island,0.0,0.145,1977.083726293475,True,False
South.Carolina,South.Carolina,0.0,0.0,1985.1922140745748,True,True
South.Dakota,South.Dakota,0.0,0.0,1967.2537256946985,True,True
Tennessee,Tennessee,0.0,0.0,1984.2447678425228,True,True
Texas,Texas,0.0,0.0,1980.664960199739,True,True
Utah,Utah,0.0,0.0,1976.8379716079974,True,True
Vermont,Vermont,0.0,1.0,1974.9096037575764,True,False
Virginia,Virginia,0.0,0.0,1979.563227199022,True,True
Washington,Washington,0.0,0.995,1978.258494716944,True,False
West.Virginia,West.Virginia,0.0,0.27,1980.3126643073726,True,False
Wisconsin,Wisconsin,0.0,0.0,1978.9317360418522,True,True
Wyoming,Wyoming,0.0,0.13,1978.7111283692632,True,False
