state,state,p1,p2,bp,test1,test2
Alabama,Alabama,0.0,0.035,1977.9782834833402,True,True
Arizona,Arizona,0.0,0.01,1976.4024715237083,True,True
Arkansas,Arkansas,0.0,0.54,1966.833345927272,True,False
California,California,0.0,0.0,1980.250035663377,True,True
Colorado,Colorado,0.0,0.0,1976.9896725410094,True,True
Connecticut,Connecticut,0.0,0.02,1978.5869305496385,True,True
Delaware,Delaware,0.155,0.575,1979.3329403012995,False,False
District.of.Columbia,District.of.Columbia,0.0,0.53,1966.0585559323522,True,False
Florida,Florida,0.0,0.41,1976.0000011577222,True,False
Georgia,Georgia,0.0,0.205,1962.7500061308324,True,False
Idaho,Idaho,0.0,0.0,1977.3375074453886,True,True
Illinois,Illinois,0.0,0.535,1981.362637804904,True,False
Indiana,Indiana,0.0,0.5,1976.2500184797616,True,False
Iowa,Iowa,0.0,0.025,1978.6666443237343,True,True
Kansas,Kansas,0.0,0.005,1962.8330540438533,True,True
Kentucky,Kentucky,0.0,0.055,1986.4897862664063,True,False
Louisiana,Louisiana,0.0,0.62,1958.1075439968643,True,False
Maine,Maine,0.0,0.355,1976.0075378329288,True,False
Maryland,Maryland,0.0,0.0,1974.833374931059,True,True
Massachusetts,Massachusetts,0.0,0.0,1976.5701074044523,True,True
Michigan,Michigan,0.0,0.36,1981.717784662847,True,False
Minnesota,Minnesota,0.0,0.0,1974.2234426943398,True,True
Mississippi,Mississippi,0.0,0.675,1968.5835767741773,True,False
Missouri,Missouri,0.0,0.06,1972.9166438508869,True,False
Montana,Montana,0.0,0.515,1977.024429681159,True,False
Nebraska,Nebraska,0.0,0.69,1968.5589281495004,True,False
Nevada,Nevada,0.0,0.0,1988.1295648539758,True,True
New.Hampshire,New.Hampshire,0.0,0.0,1973.8168299353847,True,True
New.Jersey,New.Jersey,0.0,0.03,1968.91584247123,True,True
New.Mexico,New.Mexico,0.0,0.005,1967.74999208257,True,True
New.York,New.York,0.0,0.0,1971.4234099702219,True,True
North.Carolina,North.Carolina,0.0,0.4,1971.7454558587556,True,False
North.Dakota,North.Dakota,0.0,0.545,1975.8332902470956,True,False
Ohio,Ohio,0.0,0.085,1975.2489606046042,True,False
Oklahoma,Oklahoma,0.0,0.5,1962.1666759879897,True,False
Oregon,Oregon,0.0,0.085,1981.2643146180571,True,False
Pennsylvania,Pennsylvania,0.0,0.0,1976.3334902905785,True,True
Rhode.Island,Rhode.Island,0.0,0.48,1976.3894841226381,True,False
South.Carolina,South.Carolina,0.0,0.45,1974.9470789851632,True,False
South.Dakota,South.Dakota,0.0,0.39,1966.4572462582157,True,False
Tennessee,Tennessee,0.0,0.305,1983.5813434333907,True,False
Texas,Texas,0.0,0.385,1976.7988329914608,True,False
Utah,Utah,0.0,0.005,1974.6616025876663,True,True
Vermont,Vermont,0.0,0.0,1978.0538006287104,True,True
Virginia,Virginia,0.0,0.27,1976.666670885246,True,False
Washington,Washington,0.0,0.0,1979.5318047225178,True,True
West.Virginia,West.Virginia,0.0,0.61,1975.866753238101,True,False
Wisconsin,Wisconsin,0.0,0.005,1979.3333257101167,True,True
Wyoming,Wyoming,0.005,0.52,1970.1949116051592,True,False
