,N_f,N_i,N_rd,N_rs,R0_f,R0_i,R0_ramp,R0_rd,R0_rs,T,bb_a,eta_f,eta_i,eta_rd,eta_rs,folder,force,gamma,rdis,rho,rn,rp_f,rp_i,rp_rd,rp_rs,runs,sa,seed,ts,v_f,v_i,v_rd,v_rs
0,3425671.630079596,3425671.630079596,10,10,1.0,0.8659418387197161,bb,10.0,10,20,0.9015317604298896,0.055289532154614435,0.055289532154614435,10.0,10,./data/,none,0.1667,100,0.0769,data_0,0.11077752233635026,0.11077752233635026,10,10,270,0.3,685855,7,0.0,0.0,10,10
1,181549.32978806403,181549.32978806403,10,10,1.0,0.4715991987029243,bb,10.0,10,20,0.5208154865646826,0.0550989838622922,0.0550989838622922,10.0,10,./data/,none,0.1667,100,0.0769,data_1,0.13138711140808065,0.13138711140808065,10,10,270,0.3,736031,7,0.0,0.0,10,10
2,932918.281400365,932918.281400365,10,10,1.0,0.5536430899777467,bb,10.0,10,20,0.37677196468006247,0.04953927579086153,0.04953927579086153,10.0,10,./data/,none,0.1667,100,0.0769,data_2,0.4330815327949958,0.4330815327949958,10,10,270,0.3,135401,7,0.0,0.0,10,10
3,333432.61995573674,333432.61995573674,10,10,1.0,0.14948567889121903,bb,10.0,10,20,0.649390808524642,0.05503070833837979,0.05503070833837979,10.0,10,./data/,none,0.1667,100,0.0769,data_3,0.14430638902643103,0.14430638902643103,10,10,270,0.3,799017,7,0.0,0.0,10,10
4,155057.68378248852,155057.68378248852,10,10,1.0,0.8446740317388277,bb,10.0,10,20,0.9556168614222058,0.2502822833992003,0.2502822833992003,10.0,10,./data/,none,0.1667,100,0.0769,data_4,0.1553116652798921,0.1553116652798921,10,10,270,0.3,661283,7,0.0,0.0,10,10
5,254468.19674216,254468.19674216,10,10,1.0,0.8602446540694973,bb,10.0,10,20,0.8348256551625275,0.12252056267868039,0.12252056267868039,10.0,10,./data/,none,0.1667,100,0.0769,data_5,0.4225171258807675,0.4225171258807675,10,10,270,0.3,183629,7,0.0,0.0,10,10
6,158050.04735010883,158050.04735010883,10,10,1.0,0.5135173252650281,bb,10.0,10,20,2.0031709760128695,0.053094948183871324,0.053094948183871324,10.0,10,./data/,none,0.1667,100,0.0769,data_6,0.19564667652323334,0.19564667652323334,10,10,270,0.3,8744,7,0.0,0.0,10,10
7,4842878.83600654,4842878.83600654,10,10,1.0,0.6179458893838364,bb,10.0,10,20,1.9593348923198555,0.6127290714111098,0.6127290714111098,10.0,10,./data/,none,0.1667,100,0.0769,data_7,0.4791561002018908,0.4791561002018908,10,10,270,0.3,622614,7,0.0,0.0,10,10
8,62085.60877740228,62085.60877740228,10,10,1.0,0.648509471071782,bb,10.0,10,20,0.8271833492978138,0.05664761244511237,0.05664761244511237,10.0,10,./data/,none,0.1667,100,0.0769,data_8,0.17883706806847924,0.17883706806847924,10,10,270,0.3,346553,7,0.0,0.0,10,10
9,93208.15367234693,93208.15367234693,10,10,1.0,0.3472777766927879,bb,10.0,10,20,1.6367510979184843,0.04822790719663521,0.04822790719663521,10.0,10,./data/,none,0.1667,100,0.0769,data_9,0.01743517604452922,0.01743517604452922,10,10,270,0.3,607388,7,0.0,0.0,10,10
10,457730.85875537747,457730.85875537747,10,10,1.0,0.3813732029345128,bb,10.0,10,20,0.30761562581729784,0.5702939650847302,0.5702939650847302,10.0,10,./data/,none,0.1667,100,0.0769,data_10,0.38449766630758825,0.38449766630758825,10,10,270,0.3,875814,7,0.0,0.0,10,10
11,974181.6147504444,974181.6147504444,10,10,1.0,0.32185546005110455,bb,10.0,10,20,1.042936928376811,0.038599491737020944,0.038599491737020944,10.0,10,./data/,none,0.1667,100,0.0769,data_11,0.05193925795481649,0.05193925795481649,10,10,270,0.3,489669,7,0.0,0.0,10,10
12,3791853.8206516593,3791853.8206516593,10,10,1.0,0.5539823159036649,bb,10.0,10,20,2.986319864675079,0.03888694943399778,0.03888694943399778,10.0,10,./data/,none,0.1667,100,0.0769,data_12,0.09028739183505918,0.09028739183505918,10,10,270,0.3,193687,7,0.0,0.0,10,10
13,3720292.734639085,3720292.734639085,10,10,1.0,0.10132115591423832,bb,10.0,10,20,0.6490366682314553,0.3022420877593504,0.3022420877593504,10.0,10,./data/,none,0.1667,100,0.0769,data_13,0.09565430663152473,0.09565430663152473,10,10,270,0.3,729308,7,0.0,0.0,10,10
14,536121.609998102,536121.609998102,10,10,1.0,0.8608559844238102,bb,10.0,10,20,2.6020641938961795,0.07998680845827306,0.07998680845827306,10.0,10,./data/,none,0.1667,100,0.0769,data_14,0.09162980779384168,0.09162980779384168,10,10,270,0.3,601325,7,0.0,0.0,10,10
15,1115302.9715914926,1115302.9715914926,10,10,1.0,0.5553763984471893,bb,10.0,10,20,2.3798794099948797,0.13325105231487072,0.13325105231487072,10.0,10,./data/,none,0.1667,100,0.0769,data_15,0.15120274725112748,0.15120274725112748,10,10,270,0.3,151798,7,0.0,0.0,10,10
16,741480.1958882455,741480.1958882455,10,10,1.0,0.32848923149146403,bb,10.0,10,20,3.472152716809397,0.13969793724654836,0.13969793724654836,10.0,10,./data/,none,0.1667,100,0.0769,data_16,0.284051929907002,0.284051929907002,10,10,270,0.3,669960,7,0.0,0.0,10,10
17,2794166.345033375,2794166.345033375,10,10,1.0,0.5458414908910711,bb,10.0,10,20,3.926803739970433,0.03802254780963015,0.03802254780963015,10.0,10,./data/,none,0.1667,100,0.0769,data_17,0.06700366678242096,0.06700366678242096,10,10,270,0.3,237869,7,0.0,0.0,10,10
18,2610709.8651801744,2610709.8651801744,10,10,1.0,0.13184334912226592,bb,10.0,10,20,2.7892014265857537,0.25408076094205745,0.25408076094205745,10.0,10,./data/,none,0.1667,100,0.0769,data_18,0.37758943643748466,0.37758943643748466,10,10,270,0.3,267011,7,0.0,0.0,10,10
19,147010.8728238255,147010.8728238255,10,10,1.0,0.48164998023518946,bb,10.0,10,20,0.21857876016288544,0.0603682306076996,0.0603682306076996,10.0,10,./data/,none,0.1667,100,0.0769,data_19,0.39042534645867266,0.39042534645867266,10,10,270,0.3,888809,7,0.0,0.0,10,10
20,2269343.4986361675,2269343.4986361675,10,10,1.0,0.8032044697482055,bb,10.0,10,20,2.0646818701367797,0.06125812084628038,0.06125812084628038,10.0,10,./data/,none,0.1667,100,0.0769,data_20,0.2479012019758633,0.2479012019758633,10,10,270,0.3,15931,7,0.0,0.0,10,10
21,3564189.878995075,3564189.878995075,10,10,1.0,0.6437650596399153,bb,10.0,10,20,0.6260021972535795,0.19344516701925124,0.19344516701925124,10.0,10,./data/,none,0.1667,100,0.0769,data_21,0.07434039646390028,0.07434039646390028,10,10,270,0.3,508790,7,0.0,0.0,10,10
22,642022.1190439127,642022.1190439127,10,10,1.0,0.5962952759660968,bb,10.0,10,20,4.4205830011176115,0.05263149804201467,0.05263149804201467,10.0,10,./data/,none,0.1667,100,0.0769,data_22,0.29114849596591913,0.29114849596591913,10,10,270,0.3,307686,7,0.0,0.0,10,10
23,1098178.6759281417,1098178.6759281417,10,10,1.0,0.6443709430300677,bb,10.0,10,20,0.693676130705289,0.22335133868329887,0.22335133868329887,10.0,10,./data/,none,0.1667,100,0.0769,data_23,0.3557941312956428,0.3557941312956428,10,10,270,0.3,454721,7,0.0,0.0,10,10
24,2354618.7580826124,2354618.7580826124,10,10,1.0,0.1218926708767153,bb,10.0,10,20,0.5179365757481813,0.9147691675842498,0.9147691675842498,10.0,10,./data/,none,0.1667,100,0.0769,data_24,0.06226536096646647,0.06226536096646647,10,10,270,0.3,583766,7,0.0,0.0,10,10
25,1700492.0991071207,1700492.0991071207,10,10,1.0,0.46151082808916155,bb,10.0,10,20,0.9864665865535309,0.2319204694860415,0.2319204694860415,10.0,10,./data/,none,0.1667,100,0.0769,data_25,0.3266154927695392,0.3266154927695392,10,10,270,0.3,998655,7,0.0,0.0,10,10
